County,population,PerSqMi
 Sussex County,1872,3019
 Sussex County,3172,2734
 Sussex County,7937,2348
 Sussex County,3411,1632
 Sussex County,920,1559
 Sussex County,14507,1169
 Sussex County,4849,1097
 Sussex County,2433,1086
 Sussex County,19053,491
 Sussex County,604,444
 Sussex County,8076,356
 Sussex County,22572,323
 Sussex County,6052,292
 Sussex County,7964,244
 Sussex County,3511,216
 Sussex County,4959,195
 Sussex County,3238,181
 Sussex County,11062,164
 Sussex County,5399,153
 Sussex County,3975,141
 Sussex County,2391,133
 Sussex County,3753,80
 Sussex County,1854,44
 Sussex County,6,0
